name,main_common_name,category,year,code
Acacia ammophila, ,Vulnerable,2000,VU
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,2000,VU
Acacia aphylla,Leafless Rock Wattle,Vulnerable,2000,VU
Acacia aprica,Blunt Wattle,Endangered,2000,EN
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,2000,VU
Acacia aristulata,Watheroo Wattle,Endangered,2000,EN
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,2000,EN
Acacia attenuata, ,Vulnerable,2000,VU
Acacia auratiflora,Orange-flowered Wattle,Endangered,2000,EN
Acacia awestoniana,Stirling Range Wattle,Vulnerable,2000,VU
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,2000,VU
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,2000,EN
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,2000,VU
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,2000,VU
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,2000,VU
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,2000,EN
Acacia constablei,Narrabarba Wattle,Vulnerable,2000,VU
Acacia courtii,Northern Brother Wattle,Vulnerable,2000,VU
Acacia cretacea,Chalky Wattle,Endangered,2000,EN
Acacia crombiei,Pink Gidgee,Vulnerable,2000,VU
Acacia curranii,Curly-bark Wattle,Vulnerable,2000,VU
Acacia denticulosa,Sandpaper Wattle,Vulnerable,2000,VU
Acacia depressa,Echidna Wattle,Vulnerable,2000,VU
Acacia deuteroneura, ,Vulnerable,2000,VU
Acacia enterocarpa,Jumping-jack Wattle,Endangered,2000,EN
Acacia eremophiloides, ,Vulnerable,2000,VU
Acacia flocktoniae,Flockton Wattle,Vulnerable,2000,VU
Acacia forrestiana,Forest's Wattle,Vulnerable,2000,VU
Acacia georgensis,Bega Wattle,Vulnerable,2000,VU
Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,2000,VU
Acacia gordonii, ,Endangered,2000,EN
Acacia grandifolia, ,Vulnerable,2000,VU
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,2000,VU
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,2000,EN
Acacia kingiana, ,Extinct,2000,EX
Acacia lanuginophylla,Woolly Wattle,Endangered,2000,EN
Acacia latzii,Latz's Wattle,Vulnerable,2000,VU
Acacia lauta,Tara Wattle,Vulnerable,2000,VU
Acacia leptalea,Chinocup Wattle,Endangered,2000,EN
Acacia lobulata,Chiddarcooping Wattle,Endangered,2000,EN
Acacia macnuttiana,McNutt's Wattle,Vulnerable,2000,VU
Acacia menzelii,Menzel's Wattle,Vulnerable,2000,VU
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,2000,VU
Acacia pharangites,Wongan Gully Wattle,Endangered,2000,EN
Acacia phasmoides,Phantom Wattle,Vulnerable,2000,VU
Acacia pickardii,Birds Nest Wattle,Vulnerable,2000,VU
Acacia pinguifolia,Fat-leaved Wattle,Endangered,2000,EN
Acacia porcata, ,Endangered,2000,EN
Acacia prismifolia,Diels' Wattle,Extinct,2000,EX
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,2000,VU
Acacia pubifolia,Velvet Wattle,Vulnerable,2000,VU
Acacia pycnostachya,Bolivia Wattle,Vulnerable,2000,VU
Acacia pygmaea,Dwarf Rock Wattle,Endangered,2000,EN
Acacia recurvata,Recurved Wattle,Endangered,2000,EN
Acacia rhamphophylla,Kundip Wattle,Endangered,2000,EN
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,2000,VU
Acacia ruppii,Rupp's Wattle,Endangered,2000,EN
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,2000,EN
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,2000,EN
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,2000,EN
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,2000,EN
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,2000,VU
Acacia vassalii,Vassal's Wattle,Endangered,2000,EN
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,2000,EN
Acacia whibleyana,Whibley Wattle,Endangered,2000,EN
Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,2000,EN
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,2000,EN
Acianthus ledwardii, ,Extinct,2000,EX
Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,2000,VU
Acronychia littoralis,Scented Acronychia,Endangered,2000,EN
Acrophyllum australe, ,Vulnerable,2000,VU
Actephila foetida, ,Vulnerable,2000,VU
Actinotus schwarzii,Desert Flannel-flower,Vulnerable,2000,VU
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,2000,EN
Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,2000,VU
Adenanthos eyrei,Toolinna Adenanthos,Endangered,2000,EN
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,2000,EN
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,2000,VU
Adenanthos velutinus,Velvet Woollybush,Endangered,2000,EN
Alectryon ramiflorus,Isis Tamarind,Endangered,2000,EN
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,2000,EN
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,2000,EN
Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,2000,VU
Allocasuarina glareicola, ,Endangered,2000,EN
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,2000,EN
Allocasuarina simulans,Nabiac Casuarina,Vulnerable,2000,VU
Allocasuarina thalassoscopica, ,Endangered,2000,EN
Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,2000,VU
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,2000,VU
Almaleea cambagei,Torrington Pea,Vulnerable,2000,VU
Ammobium craspedioides,Yass Daisy,Vulnerable,2000,VU
Amperea xiphoclada var. pedicellata, ,Extinct,2000,EX
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,2000,VU
Amphibromus whitei, ,Extinct,2000,EX
Amyema plicatula, ,Endangered,2000,EN
Amytornis modestus,Thick-billed Grasswren,Vulnerable,2000,VU
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,2000,VU
Andersonia axilliflora,Giant Andersonia,Endangered,2000,EN
Andersonia gracilis,Slender Andersonia,Endangered,2000,EN
Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,2000,VU
Androcalva procumbens, ,Vulnerable,2000,VU
Angophora inopina,Charmhaven Apple,Vulnerable,2000,VU
Angophora robur,Sandstone Rough-barked Apple,Vulnerable,2000,VU
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,2000,EN
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Vulnerable,2000,VU
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,2000,VU
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,2000,VU
Anthocercis gracilis,Slender Tailflower,Vulnerable,2000,VU
Apatophyllum olsenii, ,Vulnerable,2000,VU
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Vulnerable,2000,VU
Aplonis fusca,Tasman Starling,Extinct,2000,EX
Aponogeton bullosus, ,Endangered,2000,EN
Aponogeton prolifer,an aquatic herb,Endangered,2000,EN
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,2000,VU
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,2000,VU
Aprasia rostrata rostrata,"Monte Bello Worm-lizard, Hermite Island Worm-lizard",Vulnerable,2000,VU
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,2000,EN
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Vulnerable,2000,VU
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,2000,EN
Argyrotegium nitidulum,Shining Cudweed,Vulnerable,2000,VU
Aristida annua, ,Vulnerable,2000,VU
Aristida granitica, ,Endangered,2000,EN
Arthraxon hispidus,Hairy-joint Grass,Vulnerable,2000,VU
Asperula asthenes,Trailing Woodruff,Vulnerable,2000,VU
Asplenium hookerianum,Maidenhair Spleenwort,Vulnerable,2000,VU
Asplenium pellucidum, ,Vulnerable,2000,VU
Asplenium wildii, ,Vulnerable,2000,VU
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,2000,VU
Astelia australiana,Tall Astelia,Vulnerable,2000,VU
Asterolasia elegans, ,Endangered,2000,EN
Asterolasia nivea,Bindoon Starbush,Vulnerable,2000,VU
Asterolasia phebalioides,Downy Star-bush,Vulnerable,2000,VU
Astrotricha crassifolia,Thick-leaf Star-hair,Vulnerable,2000,VU
Astrotricha roddii, ,Endangered,2000,EN
Atalaya collina,Yarwun Whitewood,Endangered,2000,EN
Atriplex infrequens, ,Vulnerable,2000,VU
Austrostipa metatoris, ,Vulnerable,2000,VU
Austrostipa wakoolica, ,Endangered,2000,EN
Baeckea kandos,a shrub,Endangered,2000,EN
Balaenoptera borealis,Sei Whale,Vulnerable,2000,VU
Balaenoptera musculus,Blue Whale,Endangered,2000,EN
Balaenoptera physalus,Fin Whale,Vulnerable,2000,VU
Ballantinia antipoda,Southern Shepherd's Purse,Endangered,2000,EN
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Vulnerable,2000,VU
Baloskion longipes,Dense Cord-rush,Vulnerable,2000,VU
Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Endangered,2000,EN
Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Endangered,2000,EN
Banksia goodii,Good's Banksia,Vulnerable,2000,VU
Banksia ionthocarpa,Kamballup Dryandra,Endangered,2000,EN
Banksia mimica,Summer Honeypot,Endangered,2000,EN
Banksia montana,Stirling Range Dryandra,Endangered,2000,EN
Banksia nivea subsp. uliginosa,Swamp Honeypot,Endangered,2000,EN
Banksia oligantha,Wagin Banksia,Endangered,2000,EN
Banksia serratuloides subsp. serratuloides,Southern Serrate Dryandra,Vulnerable,2000,VU
Banksia sphaerocarpa var. dolichostyla,"Ironcaps Banksia, Ironcap Banksia",Vulnerable,2000,VU
Banksia squarrosa subsp. argillacea,Whicher Range Dryandra,Vulnerable,2000,VU
Banksia verticillata,"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,2000,VU
Barbarea australis,"Native Wintercress, Riverbed Wintercress",Endangered,2000,EN
Bertya calycina,a shrub,Vulnerable,2000,VU
Bertya ernestiana,a shrub,Vulnerable,2000,VU
Bertya granitica,a shrub,Endangered,2000,EN
Bertya ingramii,a shrub,Endangered,2000,EN
Bertya opponens, ,Vulnerable,2000,VU
Bertya pinifolia,a shrub,Vulnerable,2000,VU
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,2000,EX
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,2000,VU
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Extinct,2000,EX
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,2000,VU
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,2000,EX
Bettongia tropica,Northern Bettong,Endangered,2000,EN
Beyeria lepidopetala,"Small-petalled Beyeria, Short-petalled Beyeria",Endangered,2000,EN
Beyeria subtecta,Kangaroo Island Turpentine Bush,Vulnerable,2000,VU
Boronia adamsiana,Barbalin Boronia,Vulnerable,2000,VU
Boronia capitata subsp. capitata,a shrub,Endangered,2000,EN
Boronia deanei,Deane's Boronia,Vulnerable,2000,VU
Boronia exilis,Scott River Boronia,Endangered,2000,EN
Boronia galbraithiae,"Aniseed Boronia, Galbraith's Boronia",Vulnerable,2000,VU
Boronia granitica,Granite Boronia,Endangered,2000,EN
Boronia keysii,Key's Boronia,Vulnerable,2000,VU
Boronia quadrilata,a shrub,Vulnerable,2000,VU
Boronia repanda,"Repand Boronia, Border Boronia",Endangered,2000,EN
Boronia revoluta,Ironcap Boronia,Endangered,2000,EN
Boronia umbellata,Orara Boronia,Vulnerable,2000,VU
Boronia viridiflora,a shrub,Vulnerable,2000,VU
Borya mirabilis,Grampians Pincushion-lily,Endangered,2000,EN
Bosistoa transversa,"Three-leaved Bosistoa, Yellow Satinheart",Vulnerable,2000,VU
Bossiaea oligosperma, ,Vulnerable,2000,VU
Bothriochloa bunyensis,Satin-top Grass,Vulnerable,2000,VU
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,2000,VU
Brachyscome muelleri,Corunna Daisy,Endangered,2000,EN
Brachyscome muelleroides,Mueller Daisy,Vulnerable,2000,VU
Brachyscome papillosa,Mossgiel Daisy,Vulnerable,2000,VU
Budawangia gnidioides,Budawangs Cliff-heath,Vulnerable,2000,VU
Bulbophyllum globuliforme,"Miniature Moss-orchid, Hoop Pine Orchid",Vulnerable,2000,VU
Bulbophyllum gracillimum,Wispy Umbrella Orchid,Vulnerable,2000,VU
Bulbophyllum longiflorum,pale umbrella orchid,Vulnerable,2000,VU
Burmannia sp. Bathurst Island (R.Fensham 1021), ,Endangered,2000,EN
Burramys parvus,Mountain Pygmy-possum,Endangered,2000,EN
Cadellia pentastylis,Ooline,Vulnerable,2000,VU
Cajanus mareebensis, ,Endangered,2000,EN
Caladenia amoena,Charming Spider-orchid,Endangered,2000,EN
