category,main_common_name,code,name,year
Critically Endangered,,CR,Lomatia tasmanica,2001
Critically Endangered,,CR,Lomatia tasmanica,2002
Critically Endangered,,CR,Lomatia tasmanica,2003
Critically Endangered,,CR,Lomatia tasmanica,2004
Critically Endangered,,CR,Lomatia tasmanica,2005
Critically Endangered,,CR,Lomatia tasmanica,2006
Critically Endangered,,CR,Lomatia tasmanica,2007
Critically Endangered,,CR,Lomatia tasmanica,2008
Critically Endangered,,CR,Lomatia tasmanica,2009
Critically Endangered,,CR,Lomatia tasmanica,2010
Critically Endangered,,CR,Lomatia tasmanica,2011
Critically Endangered,,CR,Lomatia tasmanica,2012
Critically Endangered,,CR,Lomatia tasmanica,2013
Critically Endangered,,CR,Lomatia tasmanica,2014
Critically Endangered,,CR,Lomatia tasmanica,2015
Critically Endangered,,CR,Lomatia tasmanica,2016
Critically Endangered,,CR,Lomatia tasmanica,2017
Extinct, ,EX,Didymoglossum exiguum,2000
Extinct, ,EX,Didymoglossum exiguum,2001
Extinct, ,EX,Didymoglossum exiguum,2002
Extinct, ,EX,Didymoglossum exiguum,2003
Extinct, ,EX,Didymoglossum exiguum,2004
Extinct, ,EX,Didymoglossum exiguum,2005
Extinct, ,EX,Didymoglossum exiguum,2006
Extinct, ,EX,Didymoglossum exiguum,2007
Extinct, ,EX,Didymoglossum exiguum,2008
Extinct, ,EX,Didymoglossum exiguum,2009
Extinct, ,EX,Didymoglossum exiguum,2010
Extinct, ,EX,Didymoglossum exiguum,2011
Extinct, ,EX,Didymoglossum exiguum,2012
Extinct, ,EX,Didymoglossum exiguum,2013
Extinct, ,EX,Didymoglossum exiguum,2014
Extinct, ,EX,Didymoglossum exiguum,2015
Extinct, ,EX,Didymoglossum exiguum,2016
Extinct, ,EX,Didymoglossum exiguum,2017
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2000
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2001
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2002
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2003
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2004
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2005
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2006
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2007
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2008
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2009
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2010
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2011
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2012
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2013
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2014
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2015
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2016
Vulnerable, ,VU,Prostanthera sp. Dunmore (D.M.Gordon 8A),2017
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2000
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2001
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2002
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2003
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2004
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2005
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2006
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2007
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2008
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2009
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2010
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2011
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2012
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2013
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2014
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2015
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2016
Vulnerable,"Lamington Eyebright, Mt. Merino Eyebright",VU,Euphrasia bella,2017
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2000
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2001
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2002
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2003
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2004
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2005
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2006
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2007
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2008
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2009
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2010
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2011
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2012
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2013
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2014
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2015
Vulnerable,Green-striped Greenhood,VU,Pterostylis chlorogramma,2016
